,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
0,3 BHK Apartment for Sale in Panathur Bangalore,"2.25 Cr13,966 per sqft",1400 sqft,NAN,NAN,14 out of 17,New Property,Unfurnished,East,NAN,Freehold,1 Covered,2,1,Garden/Park,Poss. by Dec '27
1,3 BHK Apartment for Sale in Panathur Bangalore,"2.13 Cr12,909 per sqft",NAN,1650 sqft,NAN,11 out of 18,New Property,Unfurnished,East,NAN,NAN,2 Covered,3,2,Garden/Park,Poss. by Dec '27
2,3 BHK Apartment for Sale in Thanisandra Bangalore,"1.37 Cr9,648 per sqft",NAN,1420 sqft,NAN,8 out of 14,New Property,Unfurnished,North - East,NAN,Freehold,1 Covered,2,1,"Garden/Park, Pool",Poss. by Dec '28
3,3 BHK Apartment for Sale in Panathur Bangalore,"1.62 Cr11,000 per sqft",1134 sqft,NAN,NAN,5 out of 13,New Property,Unfurnished,North - East,NAN,Freehold,1 Covered,2,1,"Garden/Park, Main Road",Poss. by Mar '27
4,4 BHK Apartment for Sale in Whitefield Bangalore,"3.93 Cr15,023 per sqft",1920 sqft,NAN,NAN,20 out of 24,New Property,Unfurnished,East,NAN,Freehold,1 Covered,3,2,Garden/Park,Poss. by Dec '27
5,3 BHK Apartment for Sale in Whitefield Main Road Bangalore,"2.10 Cr12,485 per sqft",1177 sqft,NAN,NAN,10 out of 13,New Property,Unfurnished,East,NAN,Freehold,1 Covered,3,3,Garden/Park,Poss. by Dec '28
6,3 BHK Apartment for Sale in Kodathi Bangalore,"1.60 Cr10,063 per sqft",1300 sqft,NAN,NAN,2 out of 2,New Property,Unfurnished,East,NAN,Freehold,1 Open,3,2,"Garden/Park, Pool, Main Road",Poss. by Dec '32
7,3 BHK Apartment for Sale in Sarjapur Road Bangalore,"1.92 Cr9,846 per sqft",1670 sqft,NAN,NAN,20 out of 26,New Property,Unfurnished,East,NAN,Freehold,1 Covered,3,3,"Garden/Park, Pool, Main Road",Poss. by Jul '27
8,3 BHK Apartment for Sale in Sarjapura Bangalore,"1.60 Cr10,036 per sqft",1027 sqft,NAN,NAN,10 out of 29,New Property,Unfurnished,East,NAN,Freehold,1 Covered,3,1,Garden/Park,Poss. by Dec '27
9,3 BHK Apartment for Sale in Doddakannelli Bangalore,"1.60 Cr9,963 per sqft",1240 sqft,NAN,NAN,14 out of 28,New Property,Semi-Furnished,North - East,NAN,Freehold,1 Covered,3,3,Garden/Park,Poss. by Dec '32
10,3 BHK Apartment for Sale in Whitefield Bangalore,"2.25 Cr12,584 per sqft",NAN,1788 sqft,NAN,10 out of 17,New Property,Semi-Furnished,East,NAN,Freehold,1 Covered,3,3,"Garden/Park, Pool, Main Road",Poss. by Dec '27
11,4 BHK Penthouse for Sale in Whitefield Bangalore,"5.50 Cr15,524 per sqft",NAN,3543 sqft,NAN,16 out of 17,New Property,Semi-Furnished,NAN,NAN,Freehold,1 Covered,4,4,"Garden/Park, Pool, Main Road",NAN
12,3 BHK Apartment for Sale in Panathur Bangalore,"2.03 Cr12,601 per sqft",1134 sqft,NAN,NAN,10 out of 18,New Property,Unfurnished,East,NAN,Freehold,1 Covered,2,1,Garden/Park,Poss. by Dec '31
13,3 BHK Apartment for Sale in Varthur Bangalore,"2.11 Cr13,100 per sqft",1240 sqft,NAN,NAN,12 out of 18,New Property,Unfurnished,North - East,NAN,Freehold,"1 Covered,",3,2,"Garden/Park, Pool, Main Road",Poss. by Jun '27
14,2 BHK Apartment for Sale in Thanisandra Main Road Bangalore,"98 Lac8,305 per sqft",NAN,1180 sqft,NAN,9 out of 14,New Property,Unfurnished,East,NAN,Freehold,NAN,2,2,"Pool, Garden/Park, Main Road",Poss. by Dec '27
15,3 BHK Apartment for Sale in Magadi Main Road Bangalore,"1.89 Cr11,595 per sqft",NAN,1630 sqft,NAN,13 out of 32,New Property,Unfurnished,East,NAN,Freehold,NAN,3,2,"Pool, Main Road",Poss. by Jun '29
16,2 BHK Apartment for Sale in Gunjur Bangalore,"93 Lac10,109 per sqft",NAN,920 sqft,NAN,3 out of 28,New Property,Unfurnished,East,NAN,Freehold,1 Covered,2,1,"Garden/Park, Pool, Main Road",Poss. by Nov '28
17,3 BHK Apartment for Sale in Block 4th M Rajajinagar Bangalore,"2.10 Cr12,868 per sqft",1200 sqft,NAN,NAN,7 out of 31,New Property,Unfurnished,East,NAN,Freehold,1 Covered,3,NAN,Pool,Poss. by Oct '27
18,3 BHK Apartment for Sale in Panathur Bangalore,"2.20 Cr13,656 per sqft",1092 sqft,NAN,NAN,8 out of 18,New Property,Unfurnished,East,NAN,Freehold,1 Covered,2,1,Garden/Park,Poss. by Dec '28
