,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
0,"3 BHK Flat for Sale in  Kovilambakkam, Chennai","1.50 Cr9,110 per sqft",NAN,1650 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,3,1,NAN,Poss. by Dec '27
1,"2 BHK Flat for Sale in  Maduravoyal, Chennai","55 Lac5,870 per sqft",NAN,937 sqft,Ready to Move,1 out of 3,New Property,Unfurnished,North,NAN,Power Of Attorney,1 Covered,2,1,Garden/Park,NAN
2,"2 BHK Flat for Sale in  Kovilambakkam, Chennai","77.5 Lac8,298 per sqft",NAN,934 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,Poss. by Dec '27
3,"2 BHK Flat for Sale in  Padur, Chennai","44.1 Lac6,649 per sqft",NAN,663 sqft,NAN,NAN,New Property,Furnished,NAN,NAN,NAN,NAN,2,NAN,NAN,Poss. by Dec '24
4,"2 BHK Flat for Sale in  Navalur, Chennai","46.4 Lac4,735 per sqft",594 sqft,NAN,Ready to Move,1 out of 5,New Property,Semi-Furnished,North,NAN,Freehold,1 Covered,2,1,"Garden/Park, Main Road",NAN
5,"2 BHK Flat for Sale in  Manikandan Nagar, Chennai","47.3 Lac5,199 per sqft",NAN,910 sqft,NAN,1 out of 2,New Property,Unfurnished,East,NAN,NAN,1 Covered,2,1,Main Road,NAN
6,"2 BHK Flat for Sale in  Medavakkam, Chennai","73.8 Lac6,299 per sqft",NAN,1172 sqft,Ready to Move,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,NAN
7,"3 BHK Flat for Sale in  Rajakilpakkam, Chennai","84.4 Lac6,000 per sqft",NAN,1407 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,Poss. by Mar '25
8,"2 BHK Flat for Sale in  East Tambaram, Chennai","66 Lac9,429 per sqft",NAN,700 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,Poss. by Dec '24
9,"1 BHK Flat for Sale in  Singaperumal Koil, Chennai","21 Lac5,185 per sqft",274 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,1,NAN,NAN,Poss. by Jun '25
10,"2 BHK Flat for Sale in  Thoraipakkam, Chennai","1.11 Cr8,049 per sqft",1014 sqft,NAN,Ready to Move,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,NAN
11,"2 BHK Flat for Sale in  Kolathur, Chennai","70.7 Lac6,750 per sqft",NAN,1047 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,Poss. by Dec '25
12,"3 BHK Flat for Sale in  Kattupakkam, Chennai","1.16 Cr8,230 per sqft",NAN,1418 sqft,Ready to Move,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,NAN
13,"2 BHK Flat for Sale in  Perambur, Chennai","85 Lac8,173 per sqft",NAN,1040 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,Poss. by Nov '24
14,"3 BHK Flat for Sale in  Sholinganallur, Chennai","96 Lac6,190 per sqft",1250 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,Poss. by Sep '24
15,"2 BHK Flat for Sale in  Perambur, Chennai","99.3 Lac7,999 per sqft",NAN,1242 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,Poss. by Jun '24
16,"2 BHK Flat for Sale in  Iyyappanthangal, Chennai","62 Lac6,400 per sqft",NAN,968 sqft,NAN,2 out of 2,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,Poss. by Dec '24
17,"2 BHK Flat for Sale in  Medavakkam, Chennai","72.3 Lac6,546 per sqft",497 sqft,NAN,Ready to Move,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,NAN
18,"2 BHK Flat for Sale in  Tondiarpet, Chennai","78.9 Lac6,199 per sqft",NAN,1272 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,Poss. by Dec '26
19,"2 BHK Flat for Sale in  Thiruvanmiyur, Chennai","1.37 Cr14,738 per sqft",NAN,932 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,NAN
20,"1 BHK Flat for Sale in  Medavakkam, Chennai","27.2 Lac7,164 per sqft",273 sqft,NAN,Ready to Move,1 out of 4,New Property,Semi-Furnished,NAN,NAN,NAN,NAN,1,NAN,NAN,NAN
21,"2 BHK Flat for Sale in  Perungudi, Chennai","72.3 Lac8,597 per sqft",NAN,841 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,Poss. by Jun '24
22,"3 BHK Flat for Sale in  Perungudi, Chennai","1.65 Cr9,576 per sqft",NAN,1723 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,Poss. by Aug '24
23,"1 BHK Flat for Sale in  Kundrathur, Chennai","26.7 Lac5,300 per sqft",NAN,503 sqft,NAN,Ground out of 2,New Property,Semi-Furnished,NAN,NAN,NAN,NAN,1,NAN,NAN,Poss. by Jul '24
24,"2 BHK Flat for Sale in  Pozhichalur, Chennai","46.3 Lac4,899 per sqft",NAN,945 sqft,Ready to Move,3 out of 14,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,NAN
25,"2 BHK Flat for Sale in  Perumbakkam, Chennai","61 Lac6,770 per sqft",NAN,901 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,Poss. by Dec '25
26,"2 BHK Flat for Sale in  Manapakkam, Chennai","89.3 Lac9,152 per sqft",NAN,976 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,Poss. by Jun '24
27,"3 BHK Flat for Sale in  Perumbakkam, Chennai","83.9 Lac6,865 per sqft",NAN,1222 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,Poss. by Apr '25
28,"2 BHK Flat for Sale in  Perumbakkam, Chennai","49.9 Lac6,301 per sqft",550 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,Poss. by Dec '24
29,"3 BHK Flat for Sale in  Padur, Chennai","86.6 Lac6,015 per sqft",NAN,1440 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,Poss. by Dec '24
30,3 BHK Builder Floor for Sale in Pallikaranai Chennai,"86.3 Lac6,800 per sqft",1015 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,Poss. by Jun '24
31,3 BHK Apartment for Sale in Guindy Chennai,"3.54 Cr18,807 per sqft",NAN,1886 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,Poss. by Jun '25
32,2 BHK Apartment for Sale in Kolathur Chennai,"60.6 Lac6,499 per sqft",NAN,933 sqft,Ready to Move,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,NAN
33,3 BHK Apartment for Sale in Valasaravakkam Chennai,"1.71 Cr10,299 per sqft",NAN,1666 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,2,NAN,NAN,Poss. by Nov '25
34,3 BHK Builder Floor for Sale in Kilpauk Chennai,"2.18 Cr15,500 per sqft",NAN,1412 sqft,NAN,1 out of 5,New Property,Unfurnished,East,NAN,Freehold,1 Covered,3,1,Main Road,Poss. by Dec '24
35,4 BHK Builder Floor for Sale in Sembakkam Chennai,"1.40 Cr6,500 per sqft",2160 sqft,NAN,Ready to Move,1 out of 2,New Property,Unfurnished,North,NAN,Freehold,"1 Covered,",3,1,Main Road,NAN
36,4 BHK Builder Floor for Sale in Madipakkam Chennai,"1.36 Cr6,116 per sqft",2240 sqft,NAN,NAN,1 out of 3,New Property,Unfurnished,North,NAN,Freehold,2 Covered,3,2,Main Road,Poss. by Mar '25
37,3 BHK Apartment for Sale in Kelambakkam Chennai,"90 Lac5,438 per sqft",NAN,1655 sqft,NAN,3 out of 18,New Property,Semi-Furnished,South,NAN,Freehold,1 Covered,3,2,"Garden/Park, Main Road",Poss. by Jul '25
38,3 BHK Apartment for Sale in Medavakkam Chennai,"92 Lac8,014 per sqft",861 sqft,NAN,NAN,4 out of 5,New Property,Unfurnished,East,NAN,Freehold,1 Covered,2,2,Main Road,Poss. by Jun '25
39,2 BHK Apartment for Sale in Porur Chennai,"90 Lac9,454 per sqft",952 sqft,NAN,Ready to Move,3 out of 4,New Property,Unfurnished,North,NAN,Freehold,1 Covered,2,1,Main Road,NAN
40,3 BHK Apartment for Sale in Kovilambakkam Chennai,"1.14 Cr7,950 per sqft",NAN,1434 sqft,NAN,2 out of 18,New Property,Unfurnished,North,NAN,Freehold,1 Covered,3,1,"Garden/Park, Pool, Main Road",Poss. by May '26
41,2 BHK Apartment for Sale in Kovilambakkam Chennai,"92 Lac8,695 per sqft",783 sqft,NAN,NAN,5 out of 18,New Property,Unfurnished,North - East,NAN,Freehold,1 Covered,2,1,Garden/Park,Poss. by Nov '28
42,3 BHK Apartment for Sale in Ottiambakkam Chennai,"61 Lac5,083 per sqft",960 sqft,NAN,NAN,2 out of 5,New Property,Unfurnished,East,NAN,Freehold,2 Covered,3,2,Garden/Park,Poss. by Sep '25
43,3 BHK Apartment for Sale in Sholinganallur Chennai,"72.5 Lac5,429 per sqft",935 sqft,NAN,Ready to Move,2 out of 5,New Property,Unfurnished,East,NAN,Freehold,1 Covered,3,1,"Garden/Park, Pool, Main Road",NAN
