BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
3,others,1.50,9110,1650.0,10+,Unfurnished,,May be not,3,1,,chennai
2,others,0.55,5870,937.0,1,Unfurnished,North,available,2,1,Garden/Park,chennai
2,others,0.775,8298,934.0,10+,Unfurnished,,available,2,4+,,chennai
2,Padur,0.441,6649,663.0,10+,Furnished,,May be not,2,4+,,chennai
2,others,0.46399999999999997,4735,980.0,1,Semi-Furnished,North,available,2,1,"Garden/Park, Main Road",chennai
2,others,0.473,5199,910.0,1,Unfurnished,East,available,2,1,Main Road,chennai
2,Medavakkam,0.738,6299,1172.0,10+,Unfurnished,,available,2,4+,,chennai
3,others,0.8440000000000001,6000,1407.0,10+,Unfurnished,,May be not,2,4+,,chennai
2,others,0.66,9429,700.0,10+,Unfurnished,,May be not,2,4+,,chennai
1,others,0.21,5185,405.0,10+,Unfurnished,,May be not,1,4+,,chennai
2,Thoraipakkam,1.11,8049,1379.0,10+,Unfurnished,,available,2,4+,,chennai
2,Kolathur,0.7070000000000001,6750,1047.0,10+,Unfurnished,,available,2,4+,,chennai
3,others,1.16,8230,1418.0,10+,Unfurnished,,May be not,3,4+,,chennai
2,Perambur,0.85,8173,1040.0,10+,Unfurnished,,May be not,2,4+,,chennai
3,Sholinganallur,0.96,6190,1551.0,10+,Unfurnished,,May be not,3,4+,,chennai
2,Perambur,0.993,7999,1242.0,10+,Unfurnished,,May be not,2,4+,,chennai
2,others,0.62,6400,968.0,2,Unfurnished,,available,2,4+,,chennai
2,Medavakkam,0.723,6546,1104.0,10+,Unfurnished,,available,2,4+,,chennai
2,others,0.789,6199,1272.0,10+,Unfurnished,,available,2,4+,,chennai
2,Thiruvanmiyur,1.37,14738,932.0,10+,Unfurnished,,available,2,4+,,chennai
1,Medavakkam,0.272,7164,380.0,1,Semi-Furnished,,May be not,1,4+,,chennai
2,others,0.723,8597,841.0,10+,Unfurnished,,available,2,4+,,chennai
3,others,1.65,9576,1723.0,10+,Unfurnished,,May be not,3,4+,,chennai
1,others,0.267,5300,503.0,0,Semi-Furnished,,May be not,1,4+,,chennai
2,others,0.46299999999999997,4899,945.0,3,Unfurnished,,available,2,4+,,chennai
2,Perumbakkam,0.61,6770,901.0,10+,Unfurnished,,available,2,4+,,chennai
2,Manapakkam,0.893,9152,976.0,10+,Unfurnished,,May be not,2,4+,,chennai
3,Perumbakkam,0.8390000000000001,6865,1222.0,10+,Unfurnished,,available,2,4+,,chennai
2,Perumbakkam,0.499,6301,792.0,10+,Unfurnished,,May be not,2,4+,,chennai
3,Padur,0.866,6015,1440.0,10+,Unfurnished,,available,2,4+,,chennai
3,Pallikaranai,0.863,6800,1269.0,10+,Unfurnished,,May be not,2,4+,,chennai
3,others,3.54,18807,1886.0,10+,Unfurnished,,May be not,3,4+,,chennai
2,Kolathur,0.606,6499,933.0,10+,Unfurnished,,May be not,2,4+,,chennai
3,others,1.71,10299,1666.0,10+,Unfurnished,,available,2,4+,,chennai
3,Kilpauk,2.18,15500,1412.0,1,Unfurnished,East,available,3,1,Main Road,chennai
4,others,1.40,6500,2154.0,1,Unfurnished,North,available,3,1,Main Road,chennai
4,Madipakkam,1.36,6116,2224.0,1,Unfurnished,North,available,3,2,Main Road,chennai
3,Kelambakkam,0.9,5438,1655.0,3,Semi-Furnished,South,available,3,2,"Garden/Park, Main Road",chennai
3,Medavakkam,0.92,8014,1148.0,4,Unfurnished,East,available,2,2,Main Road,chennai
2,Porur,0.9,9454,952.0,3,Unfurnished,North,available,2,1,Main Road,chennai
3,others,1.14,7950,1434.0,2,Unfurnished,North,available,3,1,"Garden/Park, Pool, Main Road",chennai
2,others,0.92,8695,1058.0,5,Unfurnished,North - East,available,2,1,Garden/Park,chennai
3,others,0.61,5083,1200.0,2,Unfurnished,East,available,3,2,Garden/Park,chennai
3,Sholinganallur,0.725,5429,1335.0,2,Unfurnished,East,available,3,1,"Garden/Park, Pool, Main Road",chennai
2,others,0.743,7000,1061.0,1,Unfurnished,North - East,available,2,2,Main Road,chennai
4,others,7.14,21000,3400.0,3,Unfurnished,,available,4,2,,chennai
2,Mogappair,0.9670000000000001,9103,1062.0,4,Unfurnished,East,available,2,1,"Garden/Park, Main Road",chennai
2,Sholinganallur,1.19,7078,1681.0,10,Unfurnished,East,available,2,1,"Garden/Park, Pool, Main Road",chennai
2,others,0.626,6481,966.0,3,Unfurnished,North,available,2,1,Main Road,chennai
3,others,1.32,12059,1100.0,1,Unfurnished,North,available,2,1,Main Road,chennai
