,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
0,"3 BHK Flat  for Sale in  Trehan Luxury Floors, Sector 71, Gurgaon","2.19 Cr13,560 per sqft",NAN,1615 sqft,Ready to Move,NAN,New Property,Unfurnished,NAN,Trehan Luxury Floors,NAN,NAN,3,NAN,NAN,NAN
1,"3 BHK Flat  for Sale in  Trehan Luxury Floors, Sector 71, Gurgaon","2.07 Cr12,351 per sqft",NAN,1676 sqft,Ready to Move,NAN,New Property,Semi-Furnished,NAN,Trehan Luxury Floors,NAN,NAN,3,NAN,NAN,NAN
2,"3 BHK Flat  for Sale in  Aqua Front Towers, Sector 32 Sohna, Gurgaon","2.81 Cr15,707 per sqft",NAN,1789 sqft,NAN,NAN,New Property,Unfurnished,NAN,Aqua Front Towers,NAN,NAN,3,3,NAN,NAN
3,"3 BHK Flat  for Sale in  Puri Diplomatic Residences, Sector 111, Gurgaon","3.95 Cr24,890 per sqft",1324 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,Puri Diplomatic Residences,NAN,NAN,3,4,NAN,Poss. by Mar '31
4,"3 BHK Flat  for Sale in  Smartworld Orchard, Sector 61, Gurgaon","2.55 Cr16,500 per sqft",NAN,1549 sqft,NAN,NAN,New Property,Unfurnished,NAN,Smartworld Orchard,NAN,NAN,3,3,NAN,Poss. by Dec '24
5,"3 BHK Flat  for Sale in  The Estate Residences, Sector 63A, Gurgaon","1.78 Cr13,002 per sqft",NAN,1369 sqft,NAN,NAN,New Property,Unfurnished,NAN,The Estate Residences,NAN,1 Open,3,3,NAN,NAN
6,"3 BHK Flat  for Sale in  Trump Tower, Sector 65, Gurgaon","10.39 Cr29,500 per sqft",NAN,3525 sqft,NAN,NAN,New Property,Unfurnished,NAN,Trump Tower,NAN,NAN,4,4,NAN,Poss. by Dec '24
7,"2 BHK Flat  for Sale in  Tata Gurgaon Gateway, Sector 112, Gurgaon","2.40 Cr15,190 per sqft",NAN,1580 sqft,NAN,NAN,New Property,Unfurnished,NAN,Tata Gurgaon Gateway,NAN,NAN,2,2,NAN,NAN
8,"3 BHK Flat  for Sale in  Godrej Aristocrat, Sector 49, Gurgaon","4 Cr13,793 per sqft",1400 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,Godrej Aristocrat,NAN,NAN,3,3,NAN,Poss. by Dec '30
9,"4 BHK Flat  for Sale in  DLF The Arbour, Sector 63, Gurgaon","7 Cr18,937 per sqft",NAN,3700 sqft,NAN,NAN,New Property,Unfurnished,NAN,DLF The Arbour,NAN,NAN,5,3,NAN,Poss. by Mar '29
10,"4 BHK Flat  for Sale in  DLF Privana, Sector 76, Delhi Gurgaon Expressway, Gurgaon","5.76 Cr18,000 per sqft",NAN,3200 sqft,NAN,NAN,New Property,Unfurnished,NAN,DLF Privana,NAN,NAN,4,2,NAN,Poss. by Aug '28
11,"4 BHK Flat  for Sale in  DLF The Arbour, Sector 63, Gurgaon","7.38 Cr18,937 per sqft",NAN,3900 sqft,NAN,NAN,New Property,Unfurnished,NAN,DLF The Arbour,NAN,NAN,4,4,NAN,Poss. by Mar '28
12,"4 BHK Flat  for Sale in  M3M Crown Phase 1, Sector 111, Gurgaon","5.82 Cr21,798 per sqft",NAN,2670 sqft,NAN,NAN,New Property,Unfurnished,NAN,M3M Crown Phase 1,NAN,NAN,4,5,NAN,Poss. by Jan '28
13,"4 BHK Flat  for Sale in  GODREJ ZENITH, Sector 89, Gurgaon","3.41 Cr14,016 per sqft",2190 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,GODREJ ZENITH,NAN,NAN,3,3,NAN,Poss. by Mar '31
14,"3 BHK Flat  for Sale in  Puri Diplomatic Residences, Sector 111, Gurgaon","3.95 Cr17,287 per sqft",1823 sqft,NAN,NAN,6 out of 36,New Property,Unfurnished,East,Puri Diplomatic Residences,Freehold,1 Covered,4,3,"Pool, Garden/Park",Poss. by Mar '28
15,"2 BHK Flat  for Sale in  Central Park Flower Valley, Sector 32 Sohna, Gurgaon","1.84 Cr16,909 per sqft",NAN,1093 sqft,NAN,NAN,New Property,Unfurnished,NAN,Central Park Flower Valley,NAN,NAN,2,2,NAN,NAN
16,"3 BHK Flat  for Sale in  Trehan Luxury Floors, Sector 71, Gurgaon","1.97 Cr12,228 per sqft",NAN,1611 sqft,NAN,NAN,New Property,Unfurnished,NAN,Trehan Luxury Floors,NAN,1 Open,3,3,NAN,Poss. by Feb '25
17,"4 BHK Flat  for Sale in  DLF The Arbour, Sector 63, Gurgaon","7.19 Cr18,937 per sqft",NAN,3800 sqft,NAN,NAN,New Property,Unfurnished,NAN,DLF The Arbour,NAN,NAN,6,3,NAN,Poss. by Mar '30
18,"3 BHK Flat  for Sale in  DE LUXE DXP, Sector 37D, Delhi Gurgaon Expressway, Gurgaon","4 Cr15,250 per sqft",NAN,2623 sqft,NAN,NAN,New Property,Unfurnished,NAN,DE LUXE DXP,NAN,NAN,3,2,NAN,Poss. by Nov '28
19,"2 BHK Flat  for Sale in  GODREJ ZENITH, Sector 89, Gurgaon","1.52 Cr14,009 per sqft",977 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,GODREJ ZENITH,NAN,NAN,2,2,NAN,Poss. by Mar '28
