BHK,sector,price,price_persqft,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
3,Sector 71,2.19,13560,1615.0,,Unfurnished,,,3,,,Gurgaon
3,Sector 71,2.07,12351,1676.0,,Semi-Furnished,,,3,,,Gurgaon
3,others,2.81,15707,1789.0,,Unfurnished,,,3,3,,Gurgaon
3,Sector 111,3.95,24890,1587.0,,Unfurnished,,,3,4,,Gurgaon
3,Sector 61,2.55,16500,1549.0,,Unfurnished,,,3,3,,Gurgaon
3,Sector 63A,1.78,13002,1369.0,,Unfurnished,,1 Open,3,3,,Gurgaon
3,Sector 65,10.39,29500,3525.0,,Unfurnished,,,4,4,,Gurgaon
2,others,2.40,15190,1580.0,,Unfurnished,,,2,2,,Gurgaon
3,Sector 49,4,13793,2900.0,,Unfurnished,,,3,3,,Gurgaon
4,Sector 63,7,18937,3700.0,,Unfurnished,,,4+,3,,Gurgaon
4,others,5.76,18000,3200.0,,Unfurnished,,,4,2,,Gurgaon
4,Sector 63,7.38,18937,3900.0,,Unfurnished,,,4,4,,Gurgaon
4,Sector 111,5.82,21798,2670.0,,Unfurnished,,,4,4+,,Gurgaon
4,Sector 89,3.41,14016,2433.0,,Unfurnished,,,3,3,,Gurgaon
3,Sector 111,3.95,17287,2285.0,6,Unfurnished,East,1 Covered,4,3,"Pool, Garden/Park",Gurgaon
2,others,1.84,16909,1093.0,,Unfurnished,,,2,2,,Gurgaon
3,Sector 71,1.97,12228,1611.0,,Unfurnished,,1 Open,3,3,,Gurgaon
4,Sector 63,7.19,18937,3800.0,,Unfurnished,,,4+,3,,Gurgaon
3,Sector 37D,4,15250,2623.0,,Unfurnished,,,3,2,,Gurgaon
2,Sector 89,1.52,14009,1085.0,,Unfurnished,,,2,2,,Gurgaon
4,Sector 63,7,18937,3700.0,,Unfurnished,,,4,4,,Gurgaon
3,Sector 59,10.73,35969,2985.0,,Unfurnished,,,4,3,,Gurgaon
3,others,3.35,15930,2103.0,,Unfurnished,,,3,3,,Gurgaon
3,Sector 65,6.30,20724,3040.0,,Unfurnished,,,3,3,,Gurgaon
3,Sector 111,3.95,24890,1587.0,,Unfurnished,,,3,4,,Gurgaon
3,Sector 113,4.80,19592,2450.0,,Unfurnished,,,3,3,,Gurgaon
5+,Sector 59,13.03,35969,3625.0,,Unfurnished,,,4+,4,,Gurgaon
3,Sector 106,4.25,17347,2450.0,,Unfurnished,,,3,3,,Gurgaon
3,Sector 37D,4,15250,2623.0,,Unfurnished,,,3,3,,Gurgaon
3,Sector 59,11.15,35969,3100.0,,Unfurnished,,,4,3,,Gurgaon
3,Sector 71,1.90,11515,1650.0,,Unfurnished,,,3,3,,Gurgaon
5+,others,7.54,19274,3912.0,,Unfurnished,,,4,3,,Gurgaon
3,others,3.12,13887,2250.0,,Unfurnished,,,4+,3,,Gurgaon
3,Sector 37D,3.75,15188,2469.0,,Unfurnished,,,3,2,,Gurgaon
3,Sector 111,4.44,24900,1783.0,,Unfurnished,,,3,3,,Gurgaon
3,Sector 113,4.80,19592,2450.0,,Unfurnished,,,3,3,,Gurgaon
2,Sector 61,1.63,14489,1125.0,,Unfurnished,,,2,2,,Gurgaon
4,Sector 37D,6.16,16653,3699.0,,Unfurnished,,,4,4+,,Gurgaon
3,Sector 65,10.39,29500,3525.0,,Unfurnished,,,4,2,,Gurgaon
3,Sector 71,1.90,11515,1650.0,,Unfurnished,,,3,3,,Gurgaon
3,others,1.90,13103,1450.0,,Unfurnished,,,3,3,,Gurgaon
3,Sector 49,4,13793,2900.0,,Unfurnished,,,3,2,,Gurgaon
2,Sector 89,0.99,9000,1100.0,,Unfurnished,,,2,,,Gurgaon
2,Sector 89,1.52,14009,1085.0,,Unfurnished,,,2,2,,Gurgaon
4,Sector 89,3.76,14040,2678.0,,Unfurnished,,,3,3,,Gurgaon
5+,others,12.20,27093,4503.0,,Unfurnished,,,4+,4+,,Gurgaon
2,Sector 89,1.52,14009,1085.0,,Unfurnished,,,2,2,,Gurgaon
3,Sector 51,3,15789,1900.0,,Unfurnished,,1 Open,4,3,,Gurgaon
3,Sector 63A,2.56,19617,1305.0,,Unfurnished,,1 Open,3,2,,Gurgaon
4,Sector 113,5.50,21178,2597.0,,Unfurnished,,,4,,,Gurgaon
4,Sector 111,5.65,22000,2570.0,,Unfurnished,,1 Covered,4,,,Gurgaon
3,Sector 49,3.70,20476,1807.0,5,Semi-Furnished,,2 Covered,3,,,Gurgaon
4,Sector 37D,5.20,15985,3253.0,,Semi-Furnished,,1 Covered,4+,,,Gurgaon
3,others,5.06,16585,3051.0,,Semi-Furnished,,2 Covered,3,,,Gurgaon
3,others,5.15,18519,2781.0,,Semi-Furnished,,1 Covered,4,,,Gurgaon
3,others,2.03,14000,1450.0,,Semi-Furnished,,1 Covered,3,,,Gurgaon
4,Sector 63,8.25,20886,3950.0,,Unfurnished,,,4,,,Gurgaon
2,Sector 2,1.20,9917,1210.0,,Unfurnished,,,2,,,Gurgaon
4,Sector 26,4.50,13889,3240.0,1,Semi-Furnished,North - West,"2 Covered,",4,2,"Pool, Garden/Park, Main Road",Gurgaon
4,Sector 25,6.50,14387,4518.0,1,Semi-Furnished,,"3 Covered,",4+,2,"Garden/Park, Main Road",Gurgaon
3,Sector 71,1.97,11322,1740.0,2,Semi-Furnished,North - East,2 Covered,3,2,"Garden/Park, Main Road",Gurgaon
4,Sector 37D,5.47,14981,3651.0,3,Semi-Furnished,North - East,"2 Covered,",4,3,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 106,2.16,14392,1503.0,,Semi-Furnished,,1 Covered,3,,,Gurgaon
3,others,1.50,11295,1328.0,,Semi-Furnished,,,3,,,Gurgaon
4,Sector 25,3.85,14259,2700.0,1,Semi-Furnished,North - East,"2 Covered,",4+,2,"Garden/Park, Pool, Main Road",Gurgaon
4,Sector 63,7.60,19241,3950.0,10,Semi-Furnished,North - East,"3 Covered,",4+,4,"Garden/Park, Pool, Main Road",Gurgaon
4,Sector 102,3.20,10000,3200.0,10+,Semi-Furnished,North,,4,4,"Garden/Park, Pool, Main Road",Gurgaon
3,others,3.40,14468,2350.0,,Unfurnished,,,3,,,Gurgaon
2,Sector 106,1.85,13543,1366.0,8,Semi-Furnished,North - East,1 Covered,2,3,"Garden/Park, Pool, Main Road",Gurgaon
2,Sector 113,2.16,15766,1370.0,9,Unfurnished,North - East,1 Covered,2,2,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 113,3.33,18000,1850.0,10,Semi-Furnished,East,1 Covered,3,4,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 113,3.34,16576,2015.0,10+,Semi-Furnished,East,2 Covered,3,4,"Garden/Park, Main Road",Gurgaon
3,Sector 92,2,10025,1995.0,6,Semi-Furnished,North - East,1 Covered,4,3,Garden/Park,Gurgaon
3,Sector 59,4.85,21133,2295.0,10+,Semi-Furnished,North - West,,4,3,Main Road,Gurgaon
4,Sector 57,3,16251,1846.0,1,Furnished,North - West,2 Covered,4,2,,Gurgaon
4,Sector 106,4.34,14130,3075.0,10,Semi-Furnished,North - East,2 Covered,4+,4,Garden/Park,Gurgaon
3,Sector 61,2.19,14200,1542.0,3,Semi-Furnished,North - East,1 Open,3,2,Garden/Park,Gurgaon
3,Sector 111,4.44,19500,2277.0,10+,Semi-Furnished,North - East,"1 Covered,",3,4,"Garden/Park, Pool, Main Road",Gurgaon
4,others,3.15,10862,2900.0,10+,Semi-Furnished,North - West,"3 Covered,",4,4,Main Road,Gurgaon
4,Sector 113,4.71,14500,3248.0,4,Semi-Furnished,North - East,2 Covered,4+,4+,"Garden/Park, Pool, Main Road",Gurgaon
3,Sector 43,2.75,14474,1900.0,4,Semi-Furnished,North,2 Covered,4,2,"Garden/Park, Main Road",Gurgaon
4,Sector 63,8.08,20468,3950.0,10+,Semi-Furnished,East,,4+,4+,Garden/Park,Gurgaon
3,Sector 37D,1.53,12240,1250.0,2,Semi-Furnished,North - East,1 Covered,3,3,"Garden/Park, Pool, Main Road",Gurgaon
4,Sector 25,5.75,15972,3600.0,1,Semi-Furnished,North,"3 Covered,",4+,3,"Garden/Park, Main Road",Gurgaon
4,Sector 113,4.37,16850,2597.0,10+,Semi-Furnished,East,1 Covered,4,3,Garden/Park,Gurgaon
4,Sector 102,2.80,12346,2268.0,2,Semi-Furnished,East,,4,2,Garden/Park,Gurgaon
3,Sector 71,1.85,8043,2300.0,2,Semi-Furnished,East,"1 Covered,",3,3,"Garden/Park, Main Road",Gurgaon
