,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
0,"3 BHK Flat  for Sale in  Puppalguda, Hyderabad","1.61 Cr9,499 per sqft",1050 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,Poss. by Dec '26
1,"2 BHK Flat  for Sale in  Narsingi, Outer Ring Road, Hyderabad","1.36 Cr9,999 per sqft",NAN,1370 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,2,1,NAN,Poss. by Mar '25
2,"3 BHK Flat  for Sale in  Narsingi, Outer Ring Road, Hyderabad","2.58 Cr9,699 per sqft",NAN,2660 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,3,NAN,NAN,Poss. by Mar '25
3,"3 BHK Flat  for Sale in  Kokapet, Outer Ring Road, Hyderabad","2.64 Cr10,000 per sqft",NAN,2640 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,Poss. by Dec '28
4,"3 BHK Flat  for Sale in  Kompally, Hyderabad","2.15 Cr7,300 per sqft",NAN,2950 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,3,NAN,NAN,Poss. by Dec '25
5,"3 BHK Flat  for Sale in  Kondapur, Hyderabad","1.54 Cr10,253 per sqft",NAN,1502 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,Poss. by Sep '27
6,"2 BHK Flat  for Sale in  Miyapur, NH 9, Hyderabad","1 Cr6,799 per sqft",NAN,1474 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,Poss. by Jun '26
7,"2 BHK Flat  for Sale in  Tellapur, Outer Ring Road, Hyderabad","1.50 Cr9,506 per sqft",NAN,1578 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,2,NAN,NAN,Poss. by Dec '27
8,"3 BHK Flat  for Sale in  Kollur, Outer Ring Road, Hyderabad","1.13 Cr6,200 per sqft",NAN,1835 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,NAN,3,NAN,NAN,Poss. by Jun '26
9,"3 BHK Flat  for Sale in  Nanakaramguda, Hyderabad","2.64 Cr11,673 per sqft",NAN,2270 sqft,NAN,NAN,New Property,Unfurnished,NAN,NAN,NAN,1 Covered,3,NAN,NAN,Poss. by Jun '26
10,"3 BHK Flat  for Sale in  Quthbullapur, NH 7, Hyderabad","1.07 Cr6,000 per sqft",NAN,1796 sqft,NAN,NAN,New Property,Semi-Furnished,NAN,NAN,NAN,1 Covered,3,NAN,NAN,Poss. by Dec '24
11,"3 BHK Flat  for Sale in  Narsingi, Outer Ring Road, Hyderabad","1.90 Cr11,079 per sqft",NAN,1715 sqft,NAN,33 out of 40,New Property,Unfurnished,West,NAN,Freehold,NAN,3,1,Pool,Poss. by Oct '24
12,"3 BHK Flat  for Sale in  Kokapet, Outer Ring Road, Hyderabad","2.37 Cr9,014 per sqft",NAN,2640 sqft,NAN,20 out of 55,New Property,Unfurnished,North,NAN,Freehold,1 Covered,3,1,Garden/Park,Poss. by Dec '27
