BHK,sector,price,price_persqft,SuperArea,Floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
3,Puppalguda,1.61,9499,1695.0,,Unfurnished,,May be not,3,,,Hydrabad
2,Narsingi,1.36,9999,1370.0,,Unfurnished,,May be not,2,1,,Hydrabad
3,Narsingi,2.58,9699,2660.0,,Unfurnished,,available,3,,,Hydrabad
3,Kokapet,2.64,10000,2640.0,,Unfurnished,,May be not,3,,,Hydrabad
3,Kompally,2.15,7300,2950.0,,Unfurnished,,available,3,,,Hydrabad
3,Kondapur,1.54,10253,1502.0,,Unfurnished,,May be not,3,,,Hydrabad
2,Miyapur,1.0,6799,1474.0,,Unfurnished,,May be not,2,,,Hydrabad
2,Tellapur,1.5,9506,1578.0,,Unfurnished,,May be not,2,,,Hydrabad
3,Kollur,1.13,6200,1835.0,,Unfurnished,,May be not,3,,,Hydrabad
3,others,2.64,11673,2270.0,,Unfurnished,,available,3,,,Hydrabad
3,others,1.07,6000,1796.0,,Semi-Furnished,,available,3,,,Hydrabad
3,Narsingi,1.9,11079,1715.0,10+,Unfurnished,West,May be not,3,1,Pool,Hydrabad
3,Kokapet,2.37,9014,2640.0,10+,Unfurnished,North,available,3,1,Garden/Park,Hydrabad
3,Kokapet,2.44,9258,2636.0,10+,Unfurnished,East,available,3,1,Garden/Park,Hydrabad
3,Narsingi,2.25,11139,2020.0,10+,Unfurnished,West,May be not,3,3,"Main Road, Garden/Park",Hydrabad
2,Narsingi,1.52,11095,1370.0,10+,Unfurnished,East,available,2,1,Main Road,Hydrabad
3,Narsingi,2.2,10891,2020.0,1,Unfurnished,East,May be not,3,1,,Hydrabad
3,Narsingi,1.64,9600,1715.0,10+,Unfurnished,East,May be not,3,1,Garden/Park,Hydrabad
3,Narsingi,2.93,11015,2660.0,10+,Unfurnished,East,May be not,3,2,Main Road,Hydrabad
3,Puppalguda,1.63,9620,1694.0,10+,Unfurnished,East,available,3,1,Main Road,Hydrabad
4,Kokapet,2.95,9049,3260.0,10+,Unfurnished,West,available,4,2,"Garden/Park, Pool, Main Road",Hydrabad
3,Kokapet,2.02,10000,2020.0,10+,Unfurnished,East,available,3,1,"Garden/Park, Main Road",Hydrabad
3,Kokapet,2.37,9002,2633.0,10+,Unfurnished,North,available,4,2,,Hydrabad
3,Narsingi,2.65,11349,2335.0,10+,Unfurnished,East,May be not,3,2,"Garden/Park, Pool, Main Road",Hydrabad
3,Narsingi,2.2,10891,2020.0,10+,Unfurnished,East,available,3,2,Main Road,Hydrabad
2,Narsingi,1.3,9489,1370.0,10+,Unfurnished,East,May be not,2,1,"Pool, Garden/Park",Hydrabad
3,Narsingi,2.22,11000,2020.0,10+,Unfurnished,West,available,3,2,Garden/Park,Hydrabad
2,Narsingi,1.45,10584,1370.0,4,Unfurnished,West,May be not,2,1,Main Road,Hydrabad
3,Narsingi,2.15,10644,2020.0,10+,Unfurnished,East,May be not,3,3,"Garden/Park, Pool, Main Road",Hydrabad
3,others,2.3,11386,2020.0,10+,Unfurnished,East,available,3,2,Main Road,Hydrabad
3,Narsingi,2.05,10149,2020.0,4,Unfurnished,East,available,3,1,Main Road,Hydrabad
3,Puppalguda,1.7,10050,1695.0,10+,Unfurnished,East,available,3,1,Garden/Park,Hydrabad
3,others,1.61,9530,1689.0,10,Unfurnished,West,available,4,2,"Garden/Park, Pool, Main Road",Hydrabad
2,Narsingi,1.5,10949,1370.0,4,Unfurnished,East,May be not,2,1,Garden/Park,Hydrabad
3,Narsingi,2.3,9850,2335.0,1,Semi-Furnished,West,May be not,3,1,,Hydrabad
3,Narsingi,2.2,,2020.0,10+,Unfurnished,East,available,3,2,Main Road,Hydrabad
