,bhk,price_sqft_price,Carpet_Area,SuperArea,Status,Floor,Transaction,Furnishing,facing,Society,Ownership,Car_Parking,Bathroom,Balcony,overlooking,Under_Construction
0,"3 BHK Flat  for Sale in  Lodha Aura, Wadala, Mumbai",4.35 Cr,1115 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,Lodha Aura,NAN,NAN,3,NAN,NAN,Poss. by Dec '26
1,"1 BHK Flat  for Sale in  The Palace Tower, Vinay Nagar, Mumbai",67 Lac,399 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,The Palace Tower,NAN,NAN,2,NAN,NAN,Poss. by Dec '28
2,"2 BHK Flat  for Sale in  Godrej Reserve, Kandivali East, Mumbai","2.25 Cr20,872 per sqft",770 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,Godrej Reserve,NAN,1 Covered,2,NAN,NAN,Poss. by Jun '30
3,"2 BHK Flat  for Sale in  Northern Hills, Dahisar East, Mumbai",1.80 Cr,623 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,Northern Hills,NAN,1 Covered,2,NAN,NAN,Poss. by Dec '26
4,"1 BHK Flat  for Sale in  AV Pride, Nalasopara West, Mumbai",33 Lac,362 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,AV Pride,NAN,NAN,2,NAN,NAN,Poss. by Dec '28
5,"1 BHK Flat  for Sale in  Samarth Aura, Bhandup West, Mumbai",1.02 Cr,431 sqft,NAN,NAN,NAN,New Property,Semi-Furnished,NAN,Samarth Aura,NAN,NAN,2,NAN,NAN,Poss. by Dec '27
6,"2 BHK Flat  for Sale in  Hubtown Seasons, Chembur, Mumbai",2.30 Cr,647 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,Hubtown Seasons,NAN,NAN,2,NAN,NAN,Poss. by Jun '26
7,"4 BHK Flat  for Sale in  Kalpataru Elitus, Mulund West, Mumbai",5.20 Cr,2044 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,Kalpataru Elitus,NAN,1 Covered,5,NAN,NAN,Poss. by Sep '26
8,"2 BHK Flat  for Sale in  Godrej Horizon, Wadala, Mumbai",3.34 Cr,828 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,Godrej Horizon,NAN,NAN,2,NAN,NAN,Poss. by Jun '29
9,"2 BHK Flat  for Sale in  BKC 9, Bandra East, Mumbai",2.60 Cr,646 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,BKC 9,NAN,1 Covered,2,NAN,NAN,Poss. by Jul '28
10,"2 BHK Flat  for Sale in  Rivali Park Moonrise, Borivali East, Mumbai","1.90 Cr22,892 per sqft",770 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,Rivali Park Moonrise,NAN,1 Covered,2,NAN,NAN,Poss. by Jun '30
11,"2 BHK Flat  for Sale in  Om Mayuresh, Mulund East, Mumbai",1.70 Cr,688 sqft,NAN,NAN,NAN,New Property,Semi-Furnished,NAN,Om Mayuresh,NAN,NAN,2,NAN,NAN,Poss. by Dec '25
12,"4 BHK Flat  for Sale in  Hiranandani Empress Hill, Powai, Mumbai",8.52 Cr,1579 sqft,NAN,NAN,NAN,New Property,Unfurnished,NAN,Hiranandani Empress Hill,NAN,NAN,4,3,NAN,Poss. by Dec '28
